建筑物名称,经度,纬度,图片
振声苑e,120.687,36.3627,
振声苑s,120.6864,36.3622,
振声苑n,120.6864,36.3632,
振声苑w,120.686,36.3627,
华岗苑e,120.687,36.3645,
华岗苑w,120.6859,36.3645,
华岗苑n,120.6863,36.365,
华岗苑s,120.6863,36.3641,
第周苑a,120.6883,36.3627,
第周苑b,120.6894,36.3631,
第周苑c,120.6911,36.3632,
第周苑d,120.6926,36.3625,
第周苑e,120.691,36.3621,
第周苑f,120.6895,36.3622,
淦昌苑a,120.6882,36.3645,
淦昌苑b,120.6894,36.3649,
淦昌苑c,120.6909,36.3651,
淦昌苑d,120.6926,36.3644,
淦昌苑e,120.6912,36.364,
淦昌苑f,120.6896,36.3641,
会文南,120.6917,36.3655,
会文北,120.6917,36.3669,
s2宿舍,120.6914,36.3593,
曦园,120.6924,36.3597,
晨园,120.6868,36.3738,
体育馆,120.6855,36.359,
博物馆,120.6875,36.361,
图书馆,120.689,36.3663,
红操场,120.691,36.3603,
蓝操场,120.6857,36.3614,
双创,120.6912,36.3558,
专家公寓2号楼,120.6927,36.3581,
